Date of execution,Time,Direction,Entry price,Stoploss,Takeprofit,Risk/Results,Result,Pips
2023-01-27,07:00:00,Buy,1925.01,1922.6,1938.6,5.639004149377368,Loss,-24100.0
2023-01-27,17:00:00,Buy,1924.02,1919.75,1938.6,3.4145199063231826,Loss,-42700.0
2023-01-27,17:00:00,Buy,1924.02,1918.46,1933.01,1.6169064748201614,Win,89900.0
2023-02-03,09:00:00,Buy,1913.56,1911.88,1931.03,10.398809523810554,Loss,-16800.0
2023-02-03,09:00:00,Buy,1913.56,1911.67,1918.52,2.6243386243388205,Loss,-18900.0
2023-02-03,09:00:00,Buy,1913.56,1911.17,1918.52,2.0753138075315065,Loss,-23900.0
2023-02-07,19:00:00,Sell,1880.51,1881.24,1870.03,14.35616438356131,Loss,-7300.0
2023-02-16,15:00:00,Buy,1830.76,1830.27,1837.96,14.693877551020229,Loss,-4900.0
2023-02-20,10:00:00,Sell,1843.6,1844.75,1840.95,2.3043478260866554,Loss,-11500.0
2023-02-21,20:00:00,Buy,1833.26,1832.04,1843.7,8.55737704918018,Loss,-12200.0
2023-03-03,16:00:00,Sell,1843.52,1844.41,1836.39,8.011235955055147,Loss,-8900.0
2023-03-10,10:00:00,Sell,1835.01,1835.57,1825.38,17.196428571430037,Loss,-5600.0
2023-03-22,06:00:00,Buy,1939.21,1939.14,1946.13,98.85714285723381,Loss,-700.0
2023-03-23,11:00:00,Sell,1977.94,1978.63,1964.35,19.695652173911697,Loss,-6900.0
2023-03-30,04:00:00,Buy,1959.01,1958.53,1969.01,20.833333333332543,Loss,-4800.0
2023-03-31,09:00:00,Sell,1984.07,1984.2,1977.52,50.38461538457273,Win,65500.0
2023-04-05,09:00:00,Sell,2024.28,2024.84,2017.7,11.750000000001014,Loss,-5600.0
2023-04-05,09:00:00,Sell,2024.28,2024.87,2017.7,11.15254237288278,Loss,-5900.0
2023-04-10,01:00:00,Buy,2005.45,2000.72,2014.79,1.9746300211416241,Loss,-47300.0
2023-04-18,15:00:00,Sell,2001.19,2001.71,1999.0,4.211538461538714,Win,21900.0
2023-04-21,22:00:00,Buy,1982.55,1981.83,1992.31,13.55555555555503,Loss,-7200.0
2023-04-28,15:00:00,Buy,1984.05,1981.05,1991.02,2.3233333333333426,Win,69700.0
2023-05-03,09:00:00,Sell,2017.86,2018.26,2015.32,6.349999999998465,Loss,-4000.0
2023-05-04,17:00:00,Sell,2055.12,2056.98,2038.16,9.118279569891746,Win,169600.0
2023-05-23,13:00:00,Buy,1958.16,1955.03,1964.05,1.8817891373800855,Win,58900.0
2023-05-30,09:00:00,Buy,1936.79,1936.64,1948.7,79.40000000007277,Loss,-1500.0
2023-05-30,15:00:00,Sell,1956.36,1957.15,1944.12,15.493670886072215,Loss,-7900.0
2023-06-06,13:00:00,Sell,1963.35,1963.91,1960.27,5.499999999998173,Loss,-5600.0
2023-06-06,12:00:00,Sell,1962.23,1963.06,1958.92,3.9879518072291997,Loss,-8300.0
2023-06-06,13:00:00,Sell,1963.35,1964.44,1958.92,4.064220183485546,Loss,-10900.0
2023-06-15,17:00:00,Sell,1953.02,1959.14,1939.92,2.1405228758169375,Loss,-61200.0
2023-06-21,18:00:00,Buy,1932.09,1929.66,1938.51,2.6419753086421833,Loss,-24300.0
2023-06-21,08:00:00,Buy,1935.39,1935.26,1938.73,25.692307692285492,Loss,-1300.0
